nr.	cuiio	idno
1	12701	1003600004325
2	26844	1003600008275
3	38646	1006601003566
4	65063	1007600042792
5	68819	1007601001293
6	110958	1003600095594
7	135036	1003600015231
8	135071	1002602003945
9	135094	1003602006563
10	135131	1003600051134
11	135160	1003600025379
12	135259	1003600030157
13	204346	1002600003538
14	213084	1003611007449
15	219017	1002600030253
16	227548	1003600088608
17	227749	1003600008563
18	229694	1002600038293
19	236263	1002600007237
20	236276	1003600020293
21	237759	1003600134077
22	238405	1003604005386
23	238701	1003607005170
24	277948	1002600028144
25	277954	1003600089719
26	277960	1003600090843
27	277977	1003600035990
28	297566	1003600054157
29	297589	1002600053197
30	297655	1003607003198
31	297690	1003600103697
32	297744	1003600060507
33	297796	1002600004731
34	300446	1002600027000
35	316789	1002600001349
36	316803	1003600082352
37	316855	1003606006239
38	399031	1003602001100
39	399159	1002600008706
40	399344	1003601000933
41	399479	1003600053297
42	400001	1007600011529
43	400018	1007602006837
44	411074	1003606004176
45	411097	1003607003132
46	411246	1002600051436
47	411631	1003602034861
48	415669	1002600031892
49	415824	1003602014168
50	415876	1002601000626
51	415965	1003609001637
52	416261	1003611006981
53	458868	1003600002136
54	458897	1002602004366
55	458963	1002600005059
56	459052	1002600002966
57	459075	1003607011922
58	459135	1003602020965
59	478397	1003601006902
60	478411	1003600079947
61	479238	1003602000778
62	481028	1003600035059
63	490754	1003607003534
64	495310	1003601001985
65	818982	1003600092216
66	819026	1005600030818
67	819384	1002603000435
68	819906	1002601002055
69	819941	1003602017918
70	820594	1003611009236
71	820602	1003607016499
72	820631	1007604001559
73	820660	1003604010360
74	820750	1002600023747
75	860292	1003604151135
76	927458	1002605001218
77	927518	1004602002609
78	931891	1003600092630
79	966317	1002611001255
80	966375	1003602021869
81	966406	1003604011987
82	966458	1003608001881
83	966470	1003604006833
84	966493	1003609004122
85	966518	1003605005073
86	966530	1003605006461
87	966553	1003611004345
88	966576	1003600079453
89	1000545	1003603000018
90	1000574	1003606007845
91	1000597	1003607009444
92	1000611	1004600073089
93	1050804	1004605000916
94	1050842	1003603151633
95	1050885	1003610001565
96	1129894	1002600001718
97	1209794	1003600042749
98	1209831	1002600049442
99	1210633	1003600086062
100	1210774	1003600153049
101	1309538	1007600017646
102	1324160	1002600004166
103	1324414	1002600050842
104	1324532	1003602001719
105	1324584	1002600031364
106	1330194	1007605000906
107	1369434	1003603009332
108	1398370	1002600026461
109	1398418	1003600019413
110	1398424	1002600046223
111	1410616	1003600041683
112	1436225	1005600015811
113	1586723	1003600042152
114	1587177	1002600036325
115	1587609	1003602007261
116	1587639	1003606008060
117	1587970	1003600056726
118	1587993	1003600043182
119	1588001	1002600026999
120	1589414	1007600001090
121	1843947	1003600132567
122	1844220	1002604000247
123	1844272	1003611007483
124	1844303	1003603001510
125	1844616	1003607003453
126	1844639	1003602022914
127	1844935	1003603006308
128	1844970	1003609006931
129	1844993	1002601002332
130	1845194	1003608004240
131	1845455	1003600132327
132	1845797	1002601004314
133	1845900	1003606003168
134	1846147	1002602002247
135	1846319	1003600090108
136	1846360	1003601003439
137	1846489	1003606006505
138	1846578	1003609006148
139	1846609	1003602023807
140	1846704	1003607012158
141	1846727	1003607002777
142	1846809	1003611004873
143	1846874	1003611005179
144	1846973	1003605006759
145	1847023	1003600046149
146	1847052	1003602003779
147	1847603	1004607003449
148	1892147	1003600049782
149	2048287	1003600128971
150	2048399	1002600039072
151	2048548	1003611004817
152	2048583	1003601006599
153	2048590	1003608004550
154	2048761	1003611151098
155	2048927	1003600150783
156	2048956	1003600132121
157	2048962	1003600150554
158	2048985	1003600150598
159	2049007	1003600151517
160	2049045	1003600150118
161	2049080	1003602150732
162	2049111	1003606150039
163	2049186	1003600152709
164	2049192	1003600150716
165	2049200	1003600152569
166	2049223	1003600153337
167	2049246	1003600152570
168	2049252	1003600152628
169	2049269	1003600152606
170	2049298	1003600152673
171	2049370	1003600152558
172	2049803	1003604150552
173	2049890	1003611151216
174	2049988	1010602001476
175	2049996	1003602150721
176	2050195	1003604150806
177	2050226	1003604150574
178	2050321	1003607150139
179	2050485	1003600157793
180	2050580	1003604150817
181	2050864	1003609150317
182	2051065	1003608150033
183	2051183	1003611151205
184	2051311	1003605151372
185	2051326	1010605003334
186	2051415	1003600153223
187	2051504	1003602150743
188	2051591	1003603150382
189	2051605	1003605150283
190	2051674	1003609150340
191	2051740	1010600007234
192	2051817	1003600153290
193	2051993	1003606150028
194	2052165	1003606015554
195	2052415	1003602150754
196	2052691	1003607150209
197	2052780	1003600158309
198	2052811	1003600157232
199	2052917	1003608150228
200	2052975	1003606150040
201	2053093	1003609150409
202	2053207	1003602151120
203	2053331	1003607150140
204	2053414	1003611151227
205	2053437	1003601005628
206	2053503	1003605150319
207	2053519	1003605150353
208	2053683	1007600000510
209	2053696	1007600000794
210	2053727	1007602010766
211	2053756	1008603002394
212	2053762	1008606006773
213	2166822	1006600064263
214	2166839	1007600035769
215	2166845	1007600001506
216	2166851	1007602000972
217	2166874	1008606007194
218	2166897	1008604001084
219	2167201	1002600005141
220	2173294	1002600043543
221	2245711	1007607001387
222	2245817	1004600007910
223	2245833	1004600003509
224	2245846	1003600166605
225	2245852	1002600045640
226	2245869	1003600037248
227	2245875	1003600035026
228	2245881	1003602002303
229	2251203	1004600008917
230	2420717	1002600005956
231	2490439	1003600105901
232	2490445	1002600002449
233	2490511	1003600000763
234	2500868	1007600008790
235	2561926	1007600006969
236	2561932	1007600009269
237	2561955	1008600014114
238	2561984	1007600008295
239	2562044	1018620001506
240	2562081	1007609002399
241	2562216	1008602005491
242	2562239	1007606006400
243	2562274	1015620005743
244	2562280	1008602004380
245	2562305	1007602002817
246	2562386	1007601000528
247	2562417	1017620005987
248	2562423	1008604000593
249	2562430	1007607002720
250	2562481	1007602003973
251	2562512	1010611000613
252	2562541	1009611000383
253	2562558	1007601008890
254	2562570	1008603000459
255	2562587	1008611001822
256	2562593	1010607001253
257	2562624	1007600024691
258	2562630	1007602010744
259	2562653	1007600002134
260	2562707	1018620002156
261	2562713	1007601000517
262	2585447	1004609001863
263	2694395	1003600040815
264	2730116	1003611007977
265	2730168	1002611001624
266	2730180	1003611000934
267	2730719	1003605006379
268	2730866	1002611000524
269	2730903	1003611004806
270	2730932	1002611002595
271	2730978	1004611005567
272	2731535	1003600038566
273	2732115	1003602018328
274	2732316	1002602004148
275	2732931	1003600152743
276	2732954	15649463
277	2732960	1005611002493
278	2733132	1003604010289
279	2733439	1003602019635
280	2733468	1003600160588
281	2733617	1003600152514
282	2733899	1003606015521
283	2734019	1003602008914
284	2734781	1003604005320
285	2735253	1004605000488
286	2735349	1003602033613
287	2735562	1003602000572
288	2735993	1002605000716
289	2736165	1003609004546
290	2736225	1007606007418
291	2736656	1005609002867
292	2736751	1004611000159
293	2736828	1003602150086
294	2736998	1002611001510
295	2737443	1003600150196
296	2737704	1003600086143
297	2737791	1003608006174
298	2737816	1003611011253
299	2737905	1003608000367
300	2738129	1002609000275
301	2738201	1002600053289
302	2738276	1003611003522
303	2738431	1002611000111
304	2738454	1003601001778
305	2738649	1003605009808
306	2738744	1003600114710
307	2739063	1004611002924
308	2739293	1003608002523
309	2739672	1003605004560
310	2741404	1002600026346
311	2741829	1003600015644
312	2741864	1003600025092
313	2742295	1002600020078
314	2742734	1003600159580
315	2742837	1002600004580
316	2743171	1002600024021
317	2743455	1003600125822
318	2743461	1002600021536
319	2743923	1003600080668
320	2743946	1002600048135
321	2744093	1003600041317
322	2744511	1003600026734
323	2744963	1004600006706
324	2744970	1002600038374
325	2744986	1002600003343
326	2745425	1002600017135
327	2745951	1022606000726
328	2746235	1003600153360
329	2746241	1003600153267
330	2746258	1003600153131
331	2746264	1003600153212
332	2746270	1006601003968
333	2746347	1003600002480
334	2746755	1003601003358
335	2746838	1003600152835
336	2746985	1003609001604
337	2747619	1003601005972
338	2749084	1003603006478
339	2749305	1002604000591
340	2749340	1003604012397
341	2749363	1023604003270
342	2750254	1003600013455
343	2751578	1003609010608
344	2751673	1003609006702
345	2751779	1003603001750
346	2752000	1002600036576
347	2752081	1003603005817
348	2924777	1003600089742
349	2925015	1002600049431
350	2925363	1003600033815
351	2925802	1002600030242
352	2926227	1002600046212
353	2926245	1003600085445
354	2926799	1003600007739
355	2927072	1004600055782
356	2927356	1003600039297
357	2927669	1003600025667
358	2927675	1002600025604
359	2928002	1003600122061
360	2928094	1003600019712
361	2928350	1003600020891
362	2928539	1003600047032
363	2929013	1002600049545
364	2929295	1002600031962
365	2929711	1003611003038
366	2930039	1005602002352
367	2930252	1003602021870
368	2930269	1003602001580
369	2930275	1002602004861
370	2930358	1003600103963
371	2930507	1003611004275
372	2930565	1005604001256
373	2930692	1003604003577
374	2930884	1002602006131
375	2930944	1002602004377
376	2930950	1003602012809
377	2931010	1003607150106
378	2931257	1002602002111
379	2932328	1003603003259
380	2932363	1003603009882
381	2932377	1003603009181
382	2932558	17205813
383	2932564	1002602002568
384	2932742	1003604152899
385	2933109	1003611009498
386	2933279	1003606006859
387	2933569	1003602007227
388	2933598	1003602004879
389	2933701	1003602019691
390	2934037	1003604013626
391	2935315	1003600032911
392	2935373	1002600011100
393	2935605	1009601000337
394	2935858	1003600115544
395	2935930	1002600022108
396	2936728	1002600055010
397	2936958	1003600095871
398	2937337	1004600062911
399	2937685	1003600158022
400	2937857	1002600030002
401	2937969	1002600004041
402	2938147	1002600024825
403	2938638	1005600045663
404	2938756	1003600041166
405	2938762	1003600046172
406	2938804	1004600021987
407	2938816	1002600007204
408	2938963	1003600150602
409	2981108	1002600013012
410	2981166	1002603000505
411	3001081	1002600002601
412	3001129	1003601006407
413	3001141	1003600049807
414	3001158	1003600043540
415	3001218	1003602026761
416	3001224	1003600102162
417	3001431	1003602007641
418	3001678	1003606005667
419	3001709	1003600093785
420	3002011	1003611006224
421	3002258	1003600122658
422	3002985	1003601006681
423	3077084	1004600000287
424	3077457	1003600059222
425	3077492	1003600087689
426	3134994	1003600161633
427	3135120	1003609011177
428	3135172	1003602020840
429	3135189	1004609000372
430	3135249	1002604000801
431	3135255	1003607017452
432	3135344	1002605000222
433	3135410	1003609010354
434	3135462	1004600054327
435	3135491	1003600059093
436	3135500	1003603151585
437	3135522	1003606005081
438	3135545	1003604006545
439	3135574	1003607000315
440	3135597	1003600021902
441	3135692	1003600162559
442	3151076	1003609014156
443	3356737	1006603000835
444	3356803	1004600048025
445	3357375	1002605000521
446	3359380	1003600153050
447	3361282	1003600018715
448	3398536	1003602150123
449	3398546	1003600048486
450	3398552	1003600045544
451	3398569	1003600126117
452	3398581	1003600161002
453	3399132	1003611001584
454	3399149	1003605009819
455	3399178	1004605002862
456	3399221	1003606002183
457	3399238	1003606012829
458	3399267	1003607017603
459	3399273	1004608001567
460	3399333	1004602005437
461	3399451	1003604009270
462	3399468	1003605011515
463	3399563	1004607006266
464	3399575	1004604000366
465	3399586	1003604014117
466	3399652	1002611001406
467	3399698	1002600015876
468	3399706	1004600028447
469	3399712	1003600163408
470	3399971	1003602011868
471	3400243	1002602005994
472	3466549	1003604152660
473	3466584	1003602009760
474	3466680	1003605009978
475	3466851	1003600095963
476	3539679	1002601000899
477	3596163	1003602018096
478	3596909	1003611010784
479	3737497	1003600158479
480	3865344	1002604002045
481	3866266	1004607002969
482	3866651	1002603000181
483	3867018	1003611150219
484	3867082	1003605007929
485	3867550	1003603152249
486	3867706	1003601002753
487	3937316	1003603152168
488	3937492	1003600030401
489	3937919	1003600081436
490	3938267	1002600041790
491	3938669	1004600007600
492	3939284	1006601003359
493	3939686	1002600023736
494	3940643	1004600003060
495	3941051	1004601000262
496	3941536	1002600033623
497	3941648	1003600151643
498	3941654	1003600150613
499	3941789	1002600014178
500	3942174	1003600000844
501	3942458	1003600032818
502	3942464	1003600158594
503	3942501	1002600053924
504	3943009	1003600046297
505	3943363	1003600155467
506	3943417	1004600015397
507	3943423	1002600027583
508	3943682	1005600023416
509	3943920	1004600029204
510	3943966	1003600026435
511	3944428	1002600056453
512	3944434	1004600028218
513	3944486	1004600046010
514	3944871	1002600026782
515	3944902	1003600017051
516	3945126	1003600001645
517	3945356	1002600023851
518	3945793	1003600012012
519	3946887	1003600031671
520	3947208	1003602151429
521	3947266	1002600031467
522	3947289	1002600023471
523	3947415	1003600103446
524	3947510	1002600004030
525	3947591	1003600088549
526	3949213	1003603001657
527	3949673	1003600104720
528	3949710	1002602001859
529	3949816	1003600112277
530	3950009	1003601002214
531	3950386	1003609007259
532	3970302	1003600012458
533	4016535	1002600047080
534	4502810	1004600031450
535	4503502	1002600046968
536	4504039	1004600000346
537	4504080	1003600000408
538	4504178	1003600024202
539	4504341	1002600002265
540	4504370	1003600109932
541	4504499	1002600028465
542	4505234	1002600004535
543	4505300	1002600042719
544	4505547	1003600042565
545	4505565	1004600000209
546	4505688	1002600048456
